喂您好 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 彩铃六块六块是什么东西啊 什么阅读 
你好帮我查一下我的手机办什么业务噢 但是我们有我没有保障那十五块那可以撤掉吗 那这个要不要交啊 噢要不然噢 
哎你好我想问一下这个流量我这个已经有什么套餐啊 哎它这个就是说有什么无限用的那个流量什么套餐 嗯 怎么现在一般的短信的 
哎你好 查一下那个我现在有办了多少那个套餐 呃那下个月用八十八的那下个月后这个月的我我记得我有一个五十八的还有一个三十g的好像是 那就是总共只有一个八十八下个月是不是 
嗯你好 诶我这个套餐是什么哪个套餐 幺有 嗯那我这边要改成三十八块套餐的啊 
哎你好麻烦你帮我查一下我现在这张卡的话用的是哪个套餐感觉 尊享三十八飞享三十八的那个全球通的套餐呀 噢就是没有存在什么漫游长途多块了 噢那如果比如说比如说像噢那你不是让他拨打省内省外呢他怎么计费了 
哎你好我问一下我这个套餐是什么套餐 嗯那它那个套餐里面那个通话 送来电显显示的它那边三十八块的是说什么东西 它还有五百兆我们这边是有一百五十兆啊还还五十八块我还是用三十八块 
你好麻烦你帮我查一下本机有开通什么要收费的噢 可以帮我大厦才我这边 
你好那个幺三九那个每一次像什么一个月要扣二十块有发过来 被被对这边哎多少 他意思说每个月要扣二十了 嗯然后那个咪咪咪咕音乐那个 
请问一下我那个手机都开通了什么东西啊 这个人取消我都没开通啊怎么给我开通啊 我说哪个他妈我的手机没有赶紧人家打进来打不进来噢 我没感觉有啊 
诶我想问一下我这部手机是什么套餐呢 十八块钱 那我另外一部就是说是三十八套餐那个我能不能改成十八块钱套餐 我看一下号码 
你好我就是想问一下我这个手机的套餐多少 有没其他的什么业务呢 噢没有了是吧就这样 
哎你好我想问一下就是我我我我今天是不是变更那个新的套餐啊 昨天有一个你们说什么什么移动移动什么经理打电话跟我说然后她讲了半天然后最后就说那个帮您改过来好不好我说了不能改就是我们不对不是里面自己用的东西我叫他不要改他就是说好知道了谢谢你的接听今天就给我改过来了然后搞得我们领导吗的话我这边帮您改回去了对呀其实昨天就想弄不清楚你你问他一下他老人家都没有使啊 噢你这个就是相关改成应该还没说为什么意图下载这个东西你知道吧 噢噢嗯嗯不要了 
那个我想问一下我这就是我现在账号不是有个流量可选包吗 我就想之前不是我打电话的时候他说说过说有取消 噢然后我现在那个飞享套餐这流量套餐能不能换换换成就是那个十八十八块钱的套餐 那那你帮我换一下 
我想问一下我这个这个手机有开通哪些收费业务啊 呃都取消吧噢 行行行 彩印 
你好我想问一下我的手机是办了什么套餐 三十八的套餐 可以打多少分钟啊 你你现在能不能给我改那个八十八的套餐 
呃您好我这边是不是上网功能没有开还是我怎么都没有四g的网络 二g网络也不行 嗯 
喂 行拜拜不是多少这样 喂 呃我说你帮我查一下我的流量包现在是多少 
唉喂你好唉我想问一下我现在这个套餐是什么套餐 十六块钱的套餐现在还有吗不是没有了吗 噢这十六块套餐是什么样子的你你能跟我说一下吗 噢这个是吧好像这个套餐挺好的什么意思你就我需要改吗 
订了喂 哎你好我想问一下我手机是不是就是长期开通那个国际漫游的 噢那就不用再打电话来可以对的 您 
哎你好我想查一下我现在现在什么套餐 这个一个月淘宝 一个二十元一次是吧是什么看爱 为什么包是吧 
喂你好 麻烦你帮我查一下我本机有什么套餐 啊我那个任我还可以取消掉吗 取消掉就不能恢复了 
唉你好那个我看我试了它信息说那个呃费用不变流量增加的话我办流量你帮我看一下有没有办理成功 不是是你们这边系统有问题还是什么 但是是你意思就是说也许有不确定是吧 噢反正我收到短信说我办理成功了 
唉你好那个我想咨询一下因为我这个月的那个呃两个g的套餐我取消了吗呃但是我我的手机跟我老公是捆绑在一起的它那个三个g的共享的那您帮我现在看一下我现在是那个用了它的流量呢还是我额外产生费用了 嗯是用用我老公那个三个g的流量再用账单流量唉对噢噢好的好的小姐 
为您服务你好我这卡是不是上网卡 用的话我问你是行为什么在我手机上怎么显示一网 结束用还比较头是吧 嗯嗯 
我想问问一下我现在这个这个套餐是八十八的还是五十八的 八十八那那我那个每个月那个电话费本月的就是使用完了没有 高阳嗯嗯嗯 嗯还有什么就是八十八的每个月送二百二十分钟是吧 
唉你给我看一下我这个手机上面有没有那个短信到 ok三十块钱的 嗯我想想我想开多少钱流量一天十哎呀给我开三十天吧 我先开一个月看看 
喂 唉你帮我查一下我我现在呢下个月的套餐是多少因为我记得我选的是一百三十八的套餐怎么说我下个月要付一百六十八 帮我取消掉嗯 噢现在等于幺五二幺 
哎你好我想查查一下我消费这个月的消费情况已经开通了什么套餐已经流量还有多少 你说慢一点 五百兆流量是每个月都送吗 噢就是每个月都有五百兆流量对吧 
唉你好帮我看一下我的套餐是没是吧 不是我 我知道这我知道嗯通话一千分钟一个g的流量是吧 我还有什么能帮您噢我们这个套餐跟那个你们正常的四g什么飞享套餐是是比较打 
喂你好你帮我查一下那个呃我的手机啊是不是开通了昨天我记得好像没开通嘛今天给我发短信说开通了呃彩铃还有一个六块的收费是吧 嗯你帮我查一下我这个卡是昨天晚上开通了那个五块的彩铃然后还有一个六块的是什么费用你帮我查一下 到 对对对取消掉那个我昨天晚上登一下手机服务密码知道吧不知道 
唉你好就是我想问问这个卡不是一百二十八的套餐是吧 呃就是全球通的话最低的话是多少钱一个月的 对 噢就是说 
喂你好你帮我看看我现在手机的套餐是什么时候 就就八十八块的人说 七百兆流量是吧 你能不能帮我换一个就是你帮我看一下我这个流量一个月还七百兆不够用 
哎你好这个手机是我家亲戚的老人用的所以我帮他问一下这个手机是每个月是什么一个套餐流量多少通话时间多少 哎是不包含通话时间的对吧 那那亲情通话是什么是设定几个号码打了就不呃不需要钱还是 互打免费三十兆吗月然后之后的话我可以买这种流量包吗 
上再想这个月的套餐是多少你给我开通啊 就显示那个上面显示都不会反应 显示的是六块是 一 
唉你好我就是现在没有漫游业务对吧 这个漫游怎么收费的我这个 那我现在打电话长途都是打一毛九接呢 你 
喂你好我这个手机号是不是办理了那个亲情号那个什么东西 经办了的你你帮我关了吧 嗯知道好麻烦您先输入谢谢好的 噢行好的好那帮您超出了从下月开始还有什么可以帮您噢没了 
谢谢喂你好我想问一下我这个老套餐 就是流量稍微多一点对每个月消费一千块钱的那种我跟 不需要太多然后比我现在八十八反映 我们有个 
你好我想问一下我这个号码是不是升级成了全球通的嘞 噢意思说全国接都是一样的通话费用是吧 噢噢那谢谢了啊 嗯没有了 
您好很高兴为您服务唉你好我想问一下就是我现在这个手机里面有什么套餐啊 噢两百多少多少兆流量 噢那我想把那个套餐套餐改小一点就是不要这个不要这么高的套餐了 呃有有是五十左右的吗 
我想问一下我这个手机号那个有没有漫游的韩国的 开始的呀但我上次去怎么就是不好 
唉你好问一下那个本手机的话都是后来又加原来是八八月份的那个套餐是吧 我手机是不是八十八元套餐原来 呃五五十分钟的那个是八十八是吧 我后来改的是吧 
喂你好帮我查一下我这个卡开的是什么业务 啊对 我是原来呢 打打那个幺零零八六幺不是打那个区号加幺零零八六是吧 
喂你好我问一下我我这个我这个你送我那个什么三十g那个那个那个什么东西哦再优惠看视频呐 什么他是我在我在看的时候它扣我自己的流量呢 噢好的那那就给我取消吧我不要 没有 
唉是这样的哎麻烦你帮我查一下就是我那就是每个月都有咽账单到我的那个qq邮箱的 平时呢我就在营业厅付的这次呢我在手机手机上付了然后那个这个账单还会推算给我吧 唉 那刚才我在或者商场推送了那个啊他是不是当场赠送的嘛我昨天负责他说有吗 
你好我想问一下麻烦你帮我查一下那个我那个手机现在是什么套餐呢 然后就是有什么有什么什么什么到什么时候到期是吧 一八年八月一号我想问一下吗 取消不掉的啊行行行那先这样 
喂你好我想那个问一下我这个手机那个当月的那个套餐有哪些 好的好的谢谢 呃十六号六五十三块钱六块钱 团队然后然后呃之前我那个除了五十块那个没有就是那个业务是有吗 
唉你好我请问一下我看想看一下我这张卡这个短信是不是关关闭了 目前没有啊 那我刚才在移动营业厅关闭了呀 不是转接关闭的是吧 
哎你好我想那个确认一下我那个国际漫游开通了吧 就是呃我到俄罗斯将正常都可以打电话的是吧对是嗯然后你帮我关一下流量是吗 啊那么就是明天的零点 嗯然后到那个九号报备嗯嗯十号的零点 
嗯请问一下我这个是三十八块钱的套餐吗 还有其他的吗 我说我我没有我没有视频我没有啊 呢这个功能给我扣掉啦这个呃这个现在这个我们 
