你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 
您好兴为您服务您好 唉你好能查一下现在这个手机用的是什么什么套餐吗 目前是六十六元提醒套餐然后从下个月换了一个八十八元的自选套餐噢 就是这个月的话流量是怎么个状况的 
您好很高兴为您服务 唉你好我我想查一下我这个现在套餐是多少了 套餐的话您是飞享套餐八十八的两百二十分钟通话七百兆流量然后超出打电话一毛九一分钟全国接听免费然后有一个什么十五块钱联众白金会员这个要取消吗 十五块钱也可以改那个 
您好很高兴为您服务 是幺零零八六对不对专席啊 这边是集团热线您好请讲 嗯我现在的套餐是什么呀 
喂您好很高兴服务 唉你好我想问一下就是我那个就是流量一直都不够用嘛我想你帮我查一下我现在是什么套餐而且是我我在那个最低最低那个嗯就是 最低消费六八套餐呀然后下个月会多送您三个g上海本地流量的应该上海可以用六个g流量这样会好很多 什么时候开始送的 
您好很高兴为您服务 哎你好我想问一下现在你们这个有移动有什么套餐啊 现在升级套餐送话费您升到一百零八签约一年每个月返还十六块钱 一百零八一个月返还十六啊 
高兴为您服务唉你好你这个呃麻烦你帮我查一下我这个手机号码是不是已经开通了全球通 呃本机不是上海的所以我们看不到的我可以帮您转回当地幺零零八六咨询 噢好 嗯如果转接失败请重新拨零五七幺幺零零八六 
您好很高兴为您服务 喂你好帮我查一下我的套餐好像到这个月已经结束了是吧 啊最低消费的合约到这个月的月底就本月最后一个月再看看那个话费了对 嗯那现在有没有什么新的套餐 
您好很高兴为您服务 唉您好小姐我想问一下去掉就等于是我现在套餐是两个g的吗 嗯嗯 喂然后而且我这个是那个公司的套餐公公司那个就是办那个号码吗这个集团号打个电话我现在想就加一个g的话是怎么申请的 
很高兴为您服务 喂你好 您好 我我问一下我现在这个手机的那个资费像我就是大概月租还有那个套餐都是什么情况 
您好很高兴为您服务 唉你好我刚才就是开了一个二十多块钱呢三个g流量 包什么二十块钱 对对对 
您好很高兴为您服务 喂你好哎呀我我就查一下现在我的月租是多少钱的 呃您现在月租是九十八块的是包含二百二十分钟通话的一个g的全国流量 嗯一一个g的全国流量 
您好很高兴为您服务 喂你好 啊您说 噢我现在想问一下的话就我下个月套餐呀 
您好很高兴为您服务呃 移动公司啊 呃您好你好 这个我我怎么知道你们这个唉就短消息啊这个有什么呃什么七兆幺三九信箱了我拿这个什么幺三九邮箱 
您好很高兴为您服务 喂 您好有什么可以帮您您好 我现在这个那个东西啊就是手机上什么乱七八糟那个什么时候要交付十块钱就是说我从来没弄过你帮我记一下 
您好很高兴为您服务 喂你好我想查一下这个手机号的那个流量的套餐看 您是三十块钱五百兆的订的 噢这个不用不用 
您好很高兴为您服务 你好我想问一下我现在那个套餐多少钱一个月的 嗯保持没有听说什么意思 我说我现在用的套餐是是多少钱一个月你帮我 
您好很高兴为您服务 哎你好我想查一下我这个手机 现在的全国套餐呃手机什么不好意思您说 就是这个手机号现在这个签约不是到期了吗 
您好很高兴为您服务 哎你好我想问一下我这个手机有没有开通国际长途啊 国际是国内打国外还是出国漫游啊 出国漫游 
您好高兴为您服务您好 呃我我刚才收到一个短信啊 昂嗯 说那个呃我我装那个魔百合对吧 
您好很高兴为您服务 唉你好我想问一下我就是刚才去营业厅呃换了一我这个号码的那个套餐他那个呃换成功了嘛 就下个月改成小模卡的套餐 咱们卡是一个月多少钱呢十 
您好很高兴为您服务 唉你好小姐你帮我看下这个手机现在那个是用的套餐的都是每个月多少你帮我看一下 在套餐十八块的 十八块嗯是每个月每个月就付十八块的了不管来电显不客气 
四您好很高兴为您服务 唉你好我说我我这边有一个新增一个觉得我说我那个号有个家庭套餐嘛 嗯嗯 我再加一个号可以吧 
好好您好很高兴为您服务 啊您好现在是不是有一个套餐是一百二十八一个月然后很一百分钟国内主叫和三的流量 呃您说一百多少是一百一十八对不对 在二十八噢一百一十八是二百九 
您好很高兴为您服务 唉你好我问一下我之前啊就是我们单位办的那个集团套餐 七 然后现在我想我想要把它变成这个集团套餐把这个什么飞享套餐十八块都不要了这可以办吗 
您好很高兴服务 唉帮我问一下就是我的套餐还是买一些因为今天应该是那是一号是不是啊 吧对套餐的话您这边是八十八块套餐加三块钱来电提醒固定费九十一块 噢还是我每个月固定的费用是九十一是吧八十八十八的套餐还是买一些 
您好很高兴为您服务您好 喂你好就是我现在的这个应该是幺八八的一个叫承诺消费是二十兆的一个套餐吗 恩对 然后我现在我之前下来好像有一个叫任我用的一个套餐然后跟跟我现在办理的这个比较相似但是那个宽带是两百兆的对吧 
为您服务您好 唉喂你好是这样刚才因为有收到短信说我们那个呃家庭套餐里面的一个宽带即将到期了吗预约什么的我想问一下那个号码是幺三八幺六八零四九六八 稍等幺三八幺六八零四九六八对吧我 现在现在是应该是家庭套餐送了一个 
您好兴您服务您好 唉你好你帮我查查看我这个手机号码里面有多少功能 手机进去的套餐加一块钱长途优惠包五元三十兆流量包自己找回来 那么你这个长途现在好像我听人家长途也不要钱了是吧 
您好兴为您服务 喂你好是这样我想查一下我目前的一个套餐 套餐目前九十八块的有两g流量一百分钟通话时间还有另外有个方案随心聊啊可以的这个月改下个月生效改套餐呢 有还有什么套餐 
为您服务 你好喂你好 你好 帮忙查一下我这个号码有什么业务吗 
您好很高兴为您服务 唉你好就是我前面的话好像是已开通了你们就一个什么看里面流量看视频的一个一个一个什么优惠包已经开通了晚上 开通了唉您订购的是ip的方式流量 呃那为什么我刚才看的时候我不是升级十兆流量吗然后我的id看电视的话怎么查我流量给我扣光了呢 
您好很高兴服务 喂你好我想查一下幺五九二幺八八三幺七二 幺九二幺八八二三三幺七二服务密码知道吗 密码不知道 
您好请说喂你好那个我想问一下我那个套餐是什么别的 您现在套餐是两百一十八的然后两g的流量套餐一点两条活动会赠送两g总公司然后通话呢有有些什么 恩好那个送的两g是定向流量还是 国内流量但是把那个 
您好很高兴为您服务 哎你好请查一下我这个手机现在有呼叫等待功能 我查一下啊 套餐 
您好很高兴为您服务您好 哎你好我想问你我这个流量套餐是二十八块的那个你帮我查一下好吧 喂现在是十八元套餐呀 麻烦你一八一百兆 
您好很高兴为您服务 我想问一下我这个电话号码申请的是什么套餐 您是一百五十八的四喂一百二十八的四g自选套餐包三百分钟主叫流量三个g并且每个月会另外再送三个g的国内流量送到明年的 那我怎么这个月好像是四g吗 
您好很高兴为您服务 嗯先生你好请帮我那个这个手机帮我看一下我那个国际漫游还有 有的有开过长期的国际漫游 呃我现在去那个国外还要需要再开了 
很高兴为您服务 现在我想咨询一下想问一下我这个本机号码我我已经查到有吗 有有什么意 什么什么哎不管什么什么业务包括什么时候的有什么别的有什么异常吗 
喂您好很高兴为您服务 那问一下就是我这我现在就是这张卡里面有哪些套餐就是能帮我说一下吗 噢套餐里面有两个一个是五十块流量卡两个g流量的这个套餐还有一个叫做党务微周刊手机报十块钱今天刚出来 我是说那个消息我也不知道怎么回事他就自己有了然后就打了个电话过来问一下这东西我没有办理他们会自己就生效了呀 
您好很高兴为您服务 喂你好那个我想问一下 嗯嗯没有回应啊你好验证哎 就订了一个 
高兴您服务 唉你好呃是这样的就是就是我想问一下我这个套餐的问题然后我发现呃它还有一个叫做全国漫游包功能费这个不是已经取消了吗 嗯你这个业务要取消的先生您现在用不上的所以我建议您把它取消掉 这样子对啊可是它不是自动取消吗 
您好很高兴为您服务 唉先生你好我问一下我就是本机号码然后我怎么会有一个那个腾讯的那个视频的 那我等了稍等这个这样子这个业务它本身元在二十四块订的是腾讯它是每个月三十个g在线看视频用的一个流量那到十月份订的当时订它这个活动活动的话是只送三个月那您要下个月开始收费这三个月的话每个月系统会在月初吧一个二十四块的专款打到您帐想用来抵消这个功能费实际不扣所以下个月会扣费所以下个月要退掉吗我刚退的 啊要退掉的 
